Rank,City,,,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,London, United Kingdom,,82.89,67.36,96.36,92.61
,Milton Keynes, United Kingdom,,62.68,85.31,81.71,90.17
,Bath, United Kingdom,,62.56,78.47,83.51,117.98
,Reading, United Kingdom,,64.03,71.32,95.36,130.18
,Aberdeen, United Kingdom,,58.56,67.23,99.29,115.94
,Cambridge, United Kingdom,,65.78,67.22,95.67,105.39
,Portsmouth, United Kingdom,,56.99,62.19,89.21,94.57
,Oxford, United Kingdom,,66.79,62.18,81.92,86.68
,Edinburgh, United Kingdom,,57.69,69.3,89.29,104.25
,York, United Kingdom,,54.69,68.51,85.11,110.55
,Bristol, United Kingdom,,59.59,63.13,92.62,108.18
,Manchester, United Kingdom,,54.83,63.07,85.92,98.91
,Brighton, United Kingdom,,61.21,58.61,86.71,83.51
,Nottingham, United Kingdom,,51.3,65.92,75.29,107.61
,Coventry, United Kingdom,,51.96,64.04,71.27,133.86
,Norwich, United Kingdom,,51.26,58.53,81.1,89.95
,Leeds, United Kingdom,,53.41,61.69,91.99,109.59
,Sheffield, United Kingdom,,50.55,56.87,84.47,110.96
,Glasgow, United Kingdom,,52.03,61.85,79.52,124.11
,Exeter, United Kingdom,,53.24,58.28,82.78,86.66
,Birmingham, United Kingdom,,51.33,57.06,79.83,106.25
,Cardiff, United Kingdom,,50.69,65.68,72.66,109.78
,Southampton, United Kingdom,,52.97,58.97,76,116.26
,Newcastle Upon Tyne, United Kingdom,,48.58,54.05,78.46,127.4
,Liverpool, United Kingdom,,48.04,52.24,78.55,116.18
,Belfast, United Kingdom,,47.04,61.07,79.19,103.27
,Derby, United Kingdom,,45.92,58.52,71.55,110.83
